iter	Passed	Remaining
0	91	91347
1	93	46802
2	95	31866
3	97	24394
4	99	19893
5	102	16930
6	104	14809
7	106	13201
8	108	11944
9	110	10942
10	112	10118
11	114	9421
12	116	8822
13	118	8320
14	120	7928
15	122	7534
16	124	7189
17	126	6885
18	127	6595
19	129	6365
20	132	6160
21	133	5954
22	135	5773
23	138	5614
24	139	5452
25	141	5312
26	143	5182
27	145	5062
28	147	4946
29	149	4836
30	151	4733
31	153	4633
32	154	4540
33	156	4454
34	158	4369
35	160	4290
36	162	4227
37	164	4155
38	166	4091
39	167	4023
40	169	3964
41	171	3908
42	173	3853
43	174	3798
44	176	3750
45	178	3705
46	180	3661
47	182	3618
48	184	3578
49	186	3538
50	187	3497
51	189	3459
52	191	3423
53	193	3388
54	195	3354
55	196	3319
56	198	3287
57	200	3258
58	202	3227
59	204	3196
60	205	3170
61	207	3142
62	209	3115
63	211	3088
64	212	3061
65	214	3033
66	216	3010
67	217	2985
68	219	2963
69	221	2939
70	223	2918
71	224	2897
72	226	2875
73	228	2855
74	229	2834
75	231	2814
76	233	2796
77	234	2776
78	236	2758
79	238	2739
80	239	2720
81	241	2703
82	242	2678
83	244	2662
84	245	2647
85	247	2632
86	249	2616
87	251	2604
88	253	2591
89	254	2577
90	256	2562
91	258	2548
92	260	2537
93	262	2526
94	264	2515
95	265	2503
96	267	2493
97	269	2479
98	271	2468
99	273	2458
100	275	2448
101	276	2437
102	278	2427
103	280	2417
104	282	2406
105	283	2394
106	285	2384
107	287	2374
108	289	2363
109	290	2354
110	293	2349
111	295	2340
112	296	2330
113	298	2320
114	300	2311
115	302	2301
116	303	2290
117	305	2280
118	306	2271
119	308	2264
120	310	2257
121	312	2245
122	313	2237
123	315	2229
124	317	2220
125	318	2211
126	320	2202
127	322	2194
128	323	2186
129	325	2178
130	327	2170
131	329	2164
132	330	2156
133	332	2148
134	333	2139
135	335	2131
136	337	2123
137	339	2119
138	341	2112
139	342	2105
140	344	2098
141	345	2088
142	347	2082
143	349	2075
144	350	2067
145	352	2060
146	353	2054
147	355	2047
148	357	2043
149	359	2037
150	361	2029
151	362	2023
152	364	2019
153	366	2014
154	368	2009
155	370	2005
156	372	2000
157	374	1993
158	376	1989
159	377	1983
160	379	1975
161	380	1968
162	383	1967
163	385	1962
164	386	1957
165	388	1952
166	390	1947
167	392	1942
168	394	1937
169	395	1932
170	397	1927
171	399	1922
172	401	1918
173	402	1912
174	404	1907
175	406	1902
176	408	1897
177	409	1892
178	411	1888
179	413	1883
180	415	1879
181	417	1874
182	418	1869
183	420	1865
184	422	1861
185	424	1856
186	426	1852
187	428	1848
188	429	1844
189	431	1840
190	433	1835
191	434	1830
192	436	1825
193	438	1821
194	440	1817
195	441	1812
196	443	1807
197	445	1803
198	446	1798
199	448	1794
200	450	1789
201	451	1784
202	453	1780
203	455	1776
204	457	1773
205	458	1768
206	460	1764
207	463	1763
208	465	1760
209	466	1756
210	468	1752
211	470	1747
212	471	1743
213	473	1740
214	475	1736
215	477	1732
216	478	1728
217	480	1724
